Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Salinicoccus luteus,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,Salinicoccus luteus
Paenibacillus bouchesdurhonensis,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus bouchesdurhonensis
Tenacibaculum lutimaris,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum lutimaris
Arenicella xantha,Bacteria,Pseudomonadota,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella,Arenicella xantha
Paludibacillus litoralis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paludibacillus,Paludibacillus litoralis
Nocardioides caricicola,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides caricicola
Sphingomonas pollutisoli,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas pollutisoli
Maribacter luteus,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter luteus
Nocardia implantans,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,Nocardia implantans
Sphingomonas vulcanisoli,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas vulcanisoli
Clostridium nitritogenes,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium nitritogenes
Pelistega suis,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pelistega,Pelistega suis
Oricola indica,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Ahrensiaceae,Oricola,Oricola indica
Microvirga lenta,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Microvirga,Microvirga lenta
Solitalea koreensis,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,Solitalea koreensis
Pusillimonas caeni,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pusillimonas,Pusillimonas caeni
Bacillus solitudinis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus solitudinis
Algoriphagus litoralis,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus litoralis
Rhizobium aquaticum,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium aquaticum
Rheinheimera faecalis,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera faecalis
Leucobacter chromiireducens subsp. solipictus,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leucobacter,Leucobacter chromiireducens,Leucobacter chromiireducens subsp. solipictus
Porphyromonas pasteri,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas pasteri
Tibeticola sediminis,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Tibeticola,Tibeticola sediminis
Pedobacter changchengzhani,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter changchengzhani
Heliomarina baculiformis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Heliomarina,Heliomarina baculiformis
Acuticoccus kalidii,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Amorphaceae,Acuticoccus,Acuticoccus kalidii
Reyranella aquatilis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Reyranellaceae,Reyranella,Reyranella aquatilis
Fusobacterium massiliense,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium massiliense
Shewanella canadensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella canadensis
Actinomadura alba,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura alba
Gelatiniphilus marinus,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gelatiniphilus,Gelatiniphilus marinus
Halogeometricum limi,Bacteria,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halogeometricum,Halogeometricum limi
Halomonas litopenaei,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas litopenaei
Actinomyces vulturis,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces vulturis
Rathayibacter agropyri,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Rathayibacter,Rathayibacter agropyri
Planococcus halotolerans,Bacteria,Bacillota,Bacilli,Bacillales,Caryophanaceae,Planococcus,Planococcus halotolerans
Saccharibacillus deserti,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Saccharibacillus,Saccharibacillus deserti
Streptomyces violaceochromogenes,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces violaceochromogenes
Pedobacter polysacchareus,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter polysacchareus
Pontibacter mucosus,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,Pontibacter mucosus
Algoriphagus lacus,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus lacus
Petroclostridium xylanilyticum,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Petroclostridium,Petroclostridium xylanilyticum
Symbioplanes lichenis,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Symbioplanes,Symbioplanes lichenis
Nocardia colli,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,Nocardia colli
Bifidobacterium colobi,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium colobi
Antrihabitans cavernicola,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Antrihabitans,Antrihabitans cavernicola
Streptomyces flavofungini,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces flavofungini
Pantoea leporis,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea leporis
Cryobacterium serini,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium serini
Devosia ureilytica,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,Devosia ureilytica
Simiduia aestuariiviva,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Simiduia,Simiduia aestuariiviva
Bradyrhizobium hereditatis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium hereditatis
Luteimonas rhizosphaericola,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Luteimonas,Luteimonas rhizosphaericola
Collinsella provencensis,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella provencensis
Flavobacterium coralii,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium coralii
Chelatococcus reniformis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Chelatococcaceae,Chelatococcus,Chelatococcus reniformis
Candidatus Pantoea multigeneris,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Candidatus Pantoea multigeneris
Chthonobacter albigriseus,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Pleomorphomonadaceae,Chthonobacter,Chthonobacter albigriseus
Shinella sedimenti,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Shinella,Shinella sedimenti
Mucilaginibacter limnophilus,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter limnophilus
Aliiroseovarius zhejiangensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Aliiroseovarius,Aliiroseovarius zhejiangensis
Mucilaginibacter gossypiicola,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter gossypiicola
Sphingobacterium paucimobilis,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium paucimobilis
Asticcacaulis currens,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis currens
Chryseobacterium hispalense,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium hispalense
Portibacter lacus,Bacteria,Bacteroidota,Saprospiria,Saprospirales,Haliscomenobacteraceae,Portibacter,Portibacter lacus
Haloprofundus marisrubri,Bacteria,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloprofundus,Haloprofundus marisrubri
Nonlabens antarcticus,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,Nonlabens antarcticus
Tautonia rosea,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia rosea
Psychrobacillus insolitus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Psychrobacillus,Psychrobacillus insolitus
Paenibacillus violae,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus violae
Geomonas anaerohicana,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geomonas,Geomonas anaerohicana
Alteromonas oceanisediminis,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas oceanisediminis
Erwinia phyllosphaerae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Erwinia phyllosphaerae
Tsukamurella asaccharolytica,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Tsukamurellaceae,Tsukamurella,Tsukamurella asaccharolytica
Pseudooceanicola pacificus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudooceanicola,Pseudooceanicola pacificus
Microvirga flavescens,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Microvirga,Microvirga flavescens
Parasedimentitalea maritima,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Parasedimentitalea,Parasedimentitalea maritima
Marivivens donghaensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Marivivens,Marivivens donghaensis
Lacisediminihabitans profunda,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Lacisediminihabitans,Lacisediminihabitans profunda
Streptomyces mashuensis,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces mashuensis
Neorhodopirellula lusitana,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Neorhodopirellula,Neorhodopirellula lusitana
Marinospirillum alkalitolerans,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinospirillum,Marinospirillum alkalitolerans
Rhodobium gokarnense,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhodobiaceae,Rhodobium,Rhodobium gokarnense
Tritonibacter aquimaris,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Tritonibacter,Tritonibacter aquimaris
Anaerosporomusa subterranea,Bacteria,Bacillota,Negativicutes,Negativicutes_o,Acetonemataceae,Anaerosporomusa,Anaerosporomusa subterranea,Anaerosporomusa subterranea
Novipirellula galeiformis,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Novipirellula,Novipirellula galeiformis
Yoonia ponticola,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Yoonia,Yoonia ponticola
Aquisediminimonas sediminicola,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Aquisediminimonas,Aquisediminimonas sediminicola
Aquiflexum gelatinilyticum,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Aquiflexum,Aquiflexum gelatinilyticum
Parapusillimonas granuli,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Parapusillimonas,Parapusillimonas granuli
Shimia sediminis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Shimia,Shimia sediminis
Croceicoccus ponticola,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceicoccus,Croceicoccus ponticola
Nonomuraea salmonea,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea salmonea
Erythrobacter alti,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter alti
Novosphingobium marinum,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium marinum
Aquimarina spongiae,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina spongiae
Mangrovimonas futianensis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mangrovimonas,Mangrovimonas futianensis
Lysobacter hankyongensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacter,Lysobacter hankyongensis
Desertivirga arenae,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Desertivirga,Desertivirga arenae
Herbidospora mongoliensis,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Herbidospora,Herbidospora mongoliensis
Rubinisphaera margarita,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera margarita
Flagellimonas crocea,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flagellimonas,Flagellimonas crocea
Pseudoalteromonas simplex,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas simplex
Neokomagataea anthophila,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Neokomagataea,Neokomagataea anthophila
Polynucleobacter meluiroseus,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter meluiroseus
Maribacter caenipelagi,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter caenipelagi
Sphingobium fontiphilum,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium fontiphilum
Nonomuraea solani,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea solani
Taklimakanibacter lacteus,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aestuariivirgaceae,Taklimakanibacter,Taklimakanibacter lacteus
Micromonospora humida,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora humida
Pedobacter vanadiisoli,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter vanadiisoli
Halonotius roseus,Bacteria,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halonotius,Halonotius roseus
Pectobacterium jejuense,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,Pectobacterium jejuense
Shimazuella soli,Bacteria,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Shimazuella,Shimazuella soli
Solibacillus palustris,Bacteria,Bacillota,Bacilli,Bacillales,Caryophanaceae,Solibacillus,Solibacillus palustris
Enterococcus crotali,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus crotali
Humidesulfovibrio mexicanus,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Humidesulfovibrio,Humidesulfovibrio mexicanus
Paenalcaligenes hermetiae,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Paenalcaligenes,Paenalcaligenes hermetiae
Sinobaca qinghaiensis,Bacteria,Bacillota,Bacilli,Bacillales,Sporolactobacillaceae,Sinobaca,Sinobaca qinghaiensis
Vagococcus humatus,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,Vagococcus humatus
Lishizhenia tianjinensis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Lishizhenia,Lishizhenia tianjinensis
Pedobacter ginsengiterrae,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter ginsengiterrae
Shewanella ulleungensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella ulleungensis
Lacticaseibacillus brantae,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus brantae
Aliiroseovarius salicola,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Aliiroseovarius,Aliiroseovarius salicola
Brytella acorum,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Brytella,Brytella acorum
Undibacterium baiyunense,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,Undibacterium baiyunense
Halarchaeum nitratireducens,Bacteria,Methanobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,Halarchaeum nitratireducens
Clostridium simiarum,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium simiarum
Pollutibacter soli,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Pollutibacter,Pollutibacter soli
Mycoplana dimorpha,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Mycoplana,Mycoplana dimorpha
Alcaligenes endophyticus,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Alcaligenes endophyticus
Peribacillus loiseleuriae,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Peribacillus,Peribacillus loiseleuriae
Streptomyces lucensis,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces lucensis
Mycolicibacterium arenosum,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium arenosum
Thalassotalea marina,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,Thalassotalea marina
Dyadobacter frigoris,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Dyadobacter,Dyadobacter frigoris
Aequorivita vladivostokensis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,Aequorivita vladivostokensis
Tenacibaculum pelagium,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum pelagium
Spongiibacter pelagi,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Spongiibacter,Spongiibacter pelagi
Polaromonas aquatica,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas aquatica
Kordia zhangzhouensis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,Kordia zhangzhouensis
Companilactobacillus baiquanensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus baiquanensis
Desulfosporosinus fructosivorans,Bacteria,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfosporosinus,Desulfosporosinus fructosivorans
Arthrobacter pullicola,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter pullicola
Marinomonas spartinae,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas spartinae
Longitalea luteola,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Longitalea,Longitalea luteola
Thermalbibacter longus,Bacteria,Thermomicrobiota,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,Thermalbibacter,Thermalbibacter longus
Litoreibacter ascidiaceicola,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Litoreibacter,Litoreibacter ascidiaceicola
Flavobacterium segetis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium segetis
Flavimaricola marinus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Flavimaricola,Flavimaricola marinus
